Facility	Address	City	State	Zip	Score	Mismatch	Facility	Address	City	State	Zip
Catholic Health East St Francis Medical Center	601 Hamilton Avenue	Trenton	NJ	8629	100		St Francis Medical Center	601 Hamilton Ave	Trenton	NJ	8629
Warren Hospital	185 Roseberry Street	Phillipsburg	NJ	8865	100		St Lukes Warren Hospital	185 Roseberry St	Phillipsburg	NJ	8865
San Juan Regional Medical Center	801 West Maple Street	Farmington	NM	87401	100		San Juan Regional Medical Center	801 W Maple St	Farmington	NM	87401
Community Health Systems Alta Vista Regional Hospital	104 Legion Drive	Las Vegas	NM	87701	100		Alta Vista Regional Hospital	104 Legion Dr	Las Vegas	NM	87701
FastHealth Nor Lea General Hospital	1600 North Main Avenue	Lovington	NM	88260	100		Nor - Lea General Hospital	1600 N Main Ave	Lovington	NM	88260
Presbyterian Healthcare Lincoln County Medical Center	211 Sudderth Drive	Ruidoso	NM	88345	100		Lincoln County Medical Center	211 Sudderth Dr	Ruidoso	NM	88345
Sunrise Hospital and Medical Center	3186 South Maryland Parkway	Las Vegas	NV	89109	100		Sunrise Hospital and Medical Center	3186 S Maryland Pkwy	Las Vegas	NV	89109
Southern Hills Hospital and Medical Center	9300 West Sunset Road	Las Vegas	NV	89148	100		Southern Hills Hospital and Medical	9300 W Sunset Rd	Las Vegas	NV	89148
Humboldt General Hospital	118 East Haskell Street	Winnemucca	NV	89445	100		Humboldt General Hospital	118 E Haskell St	Winnemucca	NV	89445
LifePoint Hospitals Northeastern Nevada Regional Hospital	2001 Errecart Boulevard	Elko	NV	89801	100		Northeastern Nevada Regional Hospit	2001 Errecart Blvd	Elko	NV	89801
North Shore LIJ Health System Staten Island University Hospital North Campus	475 Seaview Avenue	Staten Island	NY	10305	100		Staten Island University Hospital -	475 Seaview Ave	Staten Island	NY	10305
St Barnabas Hospital Bronx	4422 3rd Avenue	Bronx	NY	10457	100		St Barnabas Hospital	4422 3rd Ave	Bronx	NY	10457
New York City Health and Hospitals Corporation North Central Bronx Hospital	3424 Kossuth Avenue	Bronx	NY	10467	100		North Central Bronx Hospital	3424 Kossuth Ave	Bronx	NY	10467
NuHealth Nassau University Medical Center	2201 Hempstead Turnpike	East Meadow	NY	11554	100		Nassau University Medical Center	2201 Hempstead Tpke	East Meadow	NY	11554
North Shore LIJ Health System Southside Hospital	301 East Main Street	Bay Shore	NY	11706	100		Southside Hospital	301 E Main St	Bay Shore	NY	11706
North Shore LIJ Health System Huntington Hospital	270 Park Avenue	Huntington	NY	11743	100		Huntington Hospital	270 Park Ave	Huntington	NY	11743
Long Island Health Network Brookhaven Memorial Hospital Medical Center	101 Hospital Road	Patchogue	NY	11772	100		Brookhaven Memorial Hospital Medica	101 Hospital Rd	Patchogue	NY	11772
Health Quest Northern Dutchess Hospital	6511 Springbrook Avenue PO Box 5002	Rhinebeck	NY	12572	100		Northern Dutchess Hospital	6511 Springbrook Ave	Rhinebeck	NY	12572
Health Quest Vassar Brothers Medical Center	45 Reade Place	Poughkeepsie	NY	12601	100		Vassar Brothers Medical Center	45 Reade Pl	Poughkeepsie	NY	12601
Auburn Memorial Hospital	17 Lansing Street	Auburn	NY	13021	100		Auburn Memorial Hospital	17 Lansing St	Auburn	NY	13021
Samaritan Health Samaritan Medical Center	830 Washington Street	Watertown	NY	13601	100		Samaritan Medical Center	830 Washington St	Watertown	NY	13601
United Memorial Medical Center	127 North Street	Batavia	NY	14020	100		United Memorial Medical Center - No	127 North St	Batavia	NY	14020
Catholic Health East Catholic Health Sisters of Charity Hospital	2157 Main Street	Buffalo	NY	14214	100		Sisters of Charity Hospital	2157 Main St	Buffalo	NY	14214
Catholic Health East Catholic Health Kenmore Mercy Hospital	2950 Elmwood Avenue	Kenmore	NY	14217	100		Kenmore Mercy Hospital	2950 Elmwood Ave	Buffalo	NY	14217
Jones Memorial Hospital	191 North Main Street PO Box 72	Wellsville	NY	14895	100		Jones Memorial Hospital	191 N Main St	Wellsville	NY	14895
Licking Memorial Hospital	1320 West Main Street	Newark	OH	43055	100		Licking Memorial Hospital	1320 W Main St	Newark	OH	43055
Nationwide Childrens Hospital Columbus	700 Childrens Drive	Columbus	OH	43205	100		Nationwide Childrens Hospital	700 Childrens Dr	Columbus	OH	43205
Wood County Hospital	950 West Wooster Street	Bowling Green	OH	43402	100		Wood County Hospital	950 W Wooster St	Bowling Green	OH	43402
Genesis HealthCare System Bethesda Hospital	2951 Maple Avenue	Zanesville	OH	43701	100		Genesis Healthcare System Bethesda	2951 Maple Ave	Zanesville	OH	43701
Trinity Health System Trinity Medical Center West	4000 Johnson Road	Steubenville	OH	43952	100		Trinity Medical Center - West	4000 Johnson Rd	Steubenville	OH	43952
Saint Vincent Charity Medical Center	2351 East 22nd Street	Cleveland	OH	44115	100		St Vincent Charity Hospital	2351 E 22nd St	Cleveland	OH	44115
Summa Health System Wadsworth Rittman Hospital	195 Wadsworth Road	Wadsworth	OH	44281	100		Wadsworth Rittman Hospital	195 Wadsworth Rd	Wadsworth	OH	44281
Catholic Health Partners Mercy Willard Hospital	1100 Neal Zick Road	Willard	OH	44890	100		Mercy Willard Hospital	1100 Neal Zick Rd	Willard	OH	44890
Cincinnati Childrens Liberty Campus	7777 Yankee Road	Liberty Township	OH	45044	100		Cincinnati Childrens Liberty Campus	7777 Yankee Rd	Middletown	OH	45044
LifeCare Hospitals of Dayton	4000 Miamisburg Centerville Road	Miamisburg	OH	45342	100		LifeCare Hospitals of Dayton	4000 Miamisburg Centerville Rd	Miamisburg	OH	45342
Southern Ohio Medical Center	1805 27th Street	Portsmouth	OH	45662	100		Southern Ohio Medical Center	1805 27th St	Portsmouth	OH	45662
Community Health Systems Deaconess Hospital	5501 North Portland Avenue	Oklahoma City	OK	73112	100		Deaconess Hospital	5501 N Portland Ave	Oklahoma City	OK	73112
Sisters of Mercy Health Mercy Memorial Health Center	1011 14th Avenue Northwest	Ardmore	OK	73401	100		Mercy Memorial Health Center	1011 14th Ave NW	Ardmore	OK	73401
Hillcrest Healthcare Hillcrest Medical Center	1120 South Utica Avenue	Tulsa	OK	74104	100		Hillcrest Medical Center	1120 S Utica Ave	Tulsa	OK	74104
Providence Health and Services Hood River Memorial Hospital	810 12th Street PO Box 149	Hood River	OR	97031	100		Providence Hood River Memorial Hosp	810 12th St	Hood River	OR	97031
Providence Health and Services Milwaukie Hospital	10150 Southeast 32nd Avenue	Milwaukee	OR	97222	100		Providence Milwaukie Hospital	10150 SE 32nd Ave	Portland	OR	97222
Santiam Memorial Hospital	1401 North 10th Avenue	Stayton	OR	97383	100		Santiam Memorial Hospital	1401 N 10th Ave	Stayton	OR	97383
Monongahela Valley Hospital	1163 Country Club Road and Route 88	Monongahela	PA	15063	100		Monongahela Valley Hospital	1163 Country Club Rd	Monongahela	PA	15063
UPMC Health System St Margaret Hospital	815 Freeport Road	Pittsburgh	PA	15215	100		UPMC - St Margaret	815 Freeport Rd	Pittsburgh	PA	15215
UPMC Health System Mercy Hospital	1400 Locust Street	Pittsburgh	PA	15219	100		UPMC Mercy	1400 Locust St	Pittsburgh	PA	15219
UPMC Health System Shadyside Hospital	5230 Centre Avenue	Pittsburgh	PA	15232	100		UPMC - Shadyside Hospital	5230 Centre Ave	Pittsburgh	PA	15232
Excela Health Frick Hospital and Community Health Center	508 South Church Street	Mount Pleasant	PA	15666	100		Excela Frick Hospital	508 S Church St	Mount Pleasant	PA	15666
Meadville Medical Center	751 Liberty Street	Meadville	PA	16335	100		Meadville Medical Center	751 Liberty St	Meadville	PA	16335
UPMC Health System Hamot Hospital	201 State Street	Erie	PA	16550	100		UPMC Hamot	201 State St	Erie	PA	16550
Holy Spirit Hospital	503 North 21st Street	Camp Hill	PA	17011	100		Holy Spirit Hospital	503 N 21st St	Camp Hill	PA	17011
Summit Health Waynesboro Hospital	501 East Main Street	Waynesboro	PA	17268	100		Waynesboro Hospital	501 E Main St	Waynesboro	PA	17268
Hanover Hospital	300 Highland Avenue	Hanover	PA	17331	100		Hanover Hospital	300 Highland Ave	Hanover	PA	17331
Memorial Hospital	325 South Belmont Street PO Box 15118	York	PA	17405	100		Memorial Hospital	325 S Belmont St	York	PA	17405
WellSpan Health Ephrata Community Hospital	169 Martin Avenue	Ephrata	PA	17522	100		Ephrata Community Hospital	169 Martin Ave	Ephrata	PA	17522
Evangelical Community Hospital	1 Hospital Drive	Lewisburg	PA	17837	100		Evangelical Community Hospital	1 Hospital Dr	Lewisburg	PA	17837
St Lukes Hospital Bethlehem Campus	801 Ostrum Street	Bethlehem	PA	18015	100		St Lukes Hospital - Bethlehem	801 Ostrum St	Bethlehem	PA	18015
Community Health Systems Easton Hospital	250 South 21st Street	Easton	PA	18042	100		Easton Hospital	250 S 21St St	Easton	PA	18042
St Lukes Hospital Anderson Campus	1872 Riverside Circle	Easton	PA	18045	100		St Lukes Hospital - Anderson Campus	1872 Riverside Cir	Easton	PA	18045
Wayne Memorial Hospital	601 Park Street	Honesdale	PA	18431	100		Wayne Memorial Hospital	601 Park St	Honesdale	PA	18431
Community Health Systems Moses Taylor Hospital	700 Quincy Avenue	Scranton	PA	18510	100		Moses Taylor Hospital	700 Quincy Ave	Scranton	PA	18510
Community Health Systems Regional Hospital of Scranton	746 Jefferson Avenue	Scranton	PA	18510	100		Regional Hospital of Scranton	746 Jefferson Ave	Scranton	PA	18510
Grand View Hospital	700 Lawn Avenue	Sellersville	PA	18960	100		Grand View Hospital	700 Lawn Ave	Sellersville	PA	18960
Community Health Systems Brandywine Hospital	201 Reeceville Road	Coatesville	PA	19320	100		Brandywine Hospital	201 Reeceville Rd	Coatesville	PA	19320
Catholic Health East Mercy Suburban Hospital	2701 DeKalb Pike	East Norriton	PA	19401	100		Mercy Suburban Hospital	2701 Dekalb Pike	Norristown	PA	19401
Community Health Systems Pottstown Memorial Medical Center	1600 East High Street	Pottstown	PA	19464	100		Pottstown Memorial Medical Center	1600 E High St	Pottstown	PA	19464
HCA Summerville Medical Center	295 Midland Parkway	Summerville	SC	29485	100		Summerville Medical Center	295 Midland Pkwy	Summerville	SC	29485
HCA South Atlantic Colleton Medical Center	501 Robertson Boulevard	Walterboro	SC	29488	100		Colleton Medical Center	501 Robertson Blvd	Walterboro	SC	29488
Carolinas HealthCare System AnMed Health Womens and Childrens Hospital	2000 East Greenville Street	Anderson	SC	29621	100		AnMed Health Womens and Childrens H	2000 E Greenville St	Anderson	SC	29621
Avera St Lukes Hospital	305 South State Street	Aberdeen	SD	57401	100		Avera St Lukes	305 S State St	Aberdeen	SD	57401
Maury Regional Medical Center Marshall Medical Center	1080 North Ellington Parkway	Lewisburg	TN	37091	100		Marshall Medical Center	1080 N Ellington Pkwy	Lewisburg	TN	37091
Erlanger Health System TC Thompson Childrens Hospital	910 Blackford Street	Chattanooga	TN	37403	100		T C Thompson Childrens Hospital	910 Blackford St	Chattanooga	TN	37403
Unicoi County Memorial Hospital	100 Greenway Circle	Erwin	TN	37650	100		Unicoi County Memorial Hospital	100 Greenway Cir	Erwin	TN	37650
Health Management Associates Tennova Healthcare Physicians Regional Medical Center	900 East Oak Hill Avenue	Knoxville	TN	37917	100		Physicians Regional Medical Center	900 E Oak Hill Ave	Knoxville	TN	37917
Tenet HealthSystem Lake Pointe Medical Center	6800 Scenic Drive	Rowlett	TX	75088	100		Lake Pointe Medical Center	6800 Scenic Dr	Rowlett	TX	75088
Baylor Health Care System The Heart Hospital Baylor Plano	1100 Allied Drive	Plano	TX	75093	100		The Heart Hospital Baylor Plano	1100 Allied Dr	Plano	TX	75093
Tenet HealthSystem Doctors Hospital at White Rock Lake	9440 Poppy Drive	Dallas	TX	75218	100		Doctors Hospital at White Rock Lake	9440 Poppy Dr	Dallas	TX	75218
CHRISTUS Jasper Memorial Hospital	1275 Marvin Hancock Drive	Jasper	TX	75951	100		CHRISTUS Jasper Memorial Hospital	1275 Marvin Hancock Dr	Jasper	TX	75951
Plaza Medical Center of Fort Worth	900 8th Avenue	Fort Worth	TX	76104	100		Plaza Medical Center of Fort Worth	900 8th Ave	Fort Worth	TX	76104
HCA Houston Conroe Regional Medical Center	504 Medical Center Boulevard	Conroe	TX	77304	100		Conroe Regional Medical Center	504 Medical Center Blvd	Conroe	TX	77304
Huntsville Memorial Hospital	110 Memorial Hospital Drive	Huntsville	TX	77340	100		Huntsville Memorial Hospital	110 Memorial Hospital Dr	Huntsville	TX	77340
Memorial Hermann Sugar Land Hospital	17500 West Grand Parkway South	Missouri City	TX	77479	100		Memorial Hermann Sugar Land Hospita	17500 W Grand Pkwy S	Sugar Land	TX	77479
HCA Houston Clear Lake Regional Medical Center	500 Medical Center Boulevard	Webster	TX	77598	100		Clear Lake Regional Medical Center	500 Medical Center Blvd	Webster	TX	77598
Baptist Hospitals of Southeast Texas Beaumont Campus	3080 College Street	Beaumont	TX	77701	100		Baptist Hospitals of Southeast Texa	3080 College St	Beaumont	TX	77701
Citizens Medical Center	2701 Hospital Drive	Victoria	TX	77901	100		Citizens Medical Center	2701 Hospital Dr	Victoria	TX	77901
Vanguard Health Systems Baptist Health System Baptist Medical Center	111 Dallas Street	San Antonio	TX	78205	100		Baptist Medical Center	111 Dallas St	San Antonio	TX	78205
Prime Healthcare Services Harlingen Medical Center	5501 South Expressway 77	Harlingen	TX	78550	100		Harlingen Medical Center	5501 S Expressway 77	Harlingen	TX	78550
Hill Country Memorial Hospital	1020 South State Highway 16	Fredericksburg	TX	78624	100		Hill Country Memorial Hospital	1020 S State Highway 16	Fredericksburg	TX	78624
St Davids HealthCare Heart Hospital of Austin	3801 North Lamar Boulevard	Austin	TX	78756	100		Heart Hospital of Austin	3801 N Lamar Blvd	Austin	TX	78756
St Davids HealthCare North Austin Medical Center	12221 Mopac Expressway North	Austin	TX	78758	100		North Austin Medical Center	12221 MoPac Expy N	Austin	TX	78758
Las Palmas Medical Center	1801 North Oregon Street	El Paso	TX	79902	100		Las Palmas Medical Center	1801 N Oregon St	El Paso	TX	79902
IASIS Healthcare Davis Hospital and Medical Center	1600 West Antelope Drive	Layton	UT	84041	100		Davis Hospital and Medical Center	1600 W Antelope Dr	Layton	UT	84041
Intermountain Healthcare Orem Community Hospital	331 North 400 W	Orem	UT	84057	100		Orem Community Hospital	331 N 400 W	Orem	UT	84057
Valley Health Shenandoah Memorial Hospital	759 South Main Street	Woodstock	VA	22664	100		Shenandoah Memorial Hospital	759 S Main St	Woodstock	VA	22664
Valley Health Page Memorial Hospital	200 Memorial Drive	Luray	VA	22835	100		Page Memorial Hospital	200 Memorial Dr	Luray	VA	22835
Augusta Medical Center	78 Medical Center Drive	Fishersville	VA	22939	100		Augusta Health	78 Medical Center Dr	Fishersville	VA	22939
Community Health Systems Southside Regional Medical Center	200 Medical Park Boulevard	Petersburg	VA	23805	100		Southside Regional Medical Center	200 Medical Park Blvd	Petersburg	VA	23805
Community Health Systems Southampton Memorial Hospital	100 Fairview Drive	Franklin	VA	23851	100		Southampton Memorial Hospital	100 Fairview Dr	Franklin	VA	23851
Mountain States Health Alliance Norton Community Hospital	100 15th Street Northwest	Norton	VA	24273	100		Norton Community Hospital	100 15th St NW	Norton	VA	24273
Carilion Bedford Memorial Hospital	1613 Oakwood Street	Bedford	VA	24523	100		Bedford Memorial Hospital	1613 Oakwood St	Bedford	VA	24523
Porter Medical Center Inc	115 Porter Drive	Middlebury	VT	5753	100		Porter Medical Center Inc	115 Porter Dr	Middlebury	VT	5753
Northeastern Vermont Regional Hospital	1315 Hospital Drive PO Box 905	Saint Johnsbury	VT	5819	100		Northeastern Vermont Regional Hospi	1315 Hospital Dr	Saint Johnsbury	VT	5819
Franciscan Health System St Joseph Medical Center	1717 South J Street	Tacoma	WA	98405	100		St Joseph Medical Center	1717 S J St	Tacoma	WA	98405
Mason General Hospital & Family of Clinics	901 Mountain View Drive	Shelton	WA	98584	100		Mason General Hospital	901 Mountain View Dr	Shelton	WA	98584
PeaceHealth Southwest Medical Center	400 Northeast Mother Joseph Place PO Box 1600	Vancouver	WA	98664	100		PeaceHealth Southwest Medical Cente	400 NE Mother Joseph Pl	Vancouver	WA	98664
Mid Valley Hospital	810 Jasmine Street	Omak	WA	98841	100		Mid - Valley Hospital	810 Jasmine St	Omak	WA	98841
Kittitas Valley Community Hospital	603 South Chestnut Street	Ellensburg	WA	98926	100		Kittitas Valley Community Hospital	603 S Chestnut St	Ellensburg	WA	98926
Coulee Community Hospital	411 Fortuyn Road	Grand Coulee	WA	99133	100		Coulee Community Hospital	411 Fortuyn Rd	Grand Coulee	WA	99133
Trios Southridge Hospital	3810 Plaza Way	Kennewick	WA	99338	100		Trios Southridge Hospital	3810 Plaza Way	Kennewick	WA	99338
Providence Health and Services St Mary Medical Center	401 West Poplar Street PO Box 1477	Walla Walla	WA	99362	100		St Mary Medical Center	401 W Poplar St	Walla Walla	WA	99362
UW Health Partners Watertown Regional Medical Center	125 Hospital Drive	Watertown	WI	53098	100		Watertown Regional Medical Center	125 Hospital Dr	Watertown	WI	53098
Childrens Hospital of Wisconsin	9000 West Wisconsin Avenue	Milwaukee	WI	53226	100		Childrens Hospital of Wisconsin	9000 W Wisconsin Ave	Milwaukee	WI	53226
Beloit Memorial Hospital	1969 West Hart Road	Beloit	WI	53511	100		Beloit Memorial Hospital	1969 W Hart Rd	Beloit	WI	53511
SSM Health Care Upland Hills Health Inc	800 Compassion Way PO Bx 800	Dodgeville	WI	53533	100		Upland Hills Health	800 Compassion Way	Dodgeville	WI	53533
SSM Health Care Columbus Community Hospital	1515 Park Avenue	Columbus	WI	53925	100		Columbus Community Hospital	1515 Park Ave	Columbus	WI	53925
Agnesian HealthCare Waupun Memorial Hospital	620 West Brown Street	Waupun	WI	53963	100		Waupun Memorial Hospital	620 W Brown St	Waupun	WI	53963
Health Partners Family of Care Hudson Hospital and Clinics	405 Stageline Road	Hudson	WI	54016	100		Hudson Hospital and Clinics	405 Stageline Rd	Hudson	WI	54016
Health Partners Family of Care Westfields Hospital	535 Hospital Road	New Richmond	WI	54017	100		Westfields Hospital	535 Hospital Rd	New Richmond	WI	54017
Allina Health River Falls Area Hospital	1629 East Division Street	River Falls	WI	54022	100		River Falls Area Hospital	1629 E Division St	River Falls	WI	54022
St Croix Regional Medical Center	235 State Street	Saint Croix Falls	WI	54024	100		St Croix Regional Medical Center	235 State St	Saint Croix Falls	WI	54024
Ministry Health Care Good Samaritan Health Center	601 South Center Avenue	Merrill	WI	54452	100		Good Samaritan Health Center	601 S Center Ave	Merrill	WI	54452
Ministry Health Care Eagle River Memorial Hospital	201 Hospital Road	Eagle River	WI	54521	100		Eagle River Memorial Hospital	201 Hospital Rd	Eagle River	WI	54521
Ministry Health Care Howard Young Medical Center	240 Maple Street	Woodruff	WI	54568	100		Howard Young Medical Center	240 Maple St	Woodruff	WI	54568
Mayo Clinic Health System Eau Claire Hospital	1221 Whipple Street PO Box 4105	Eau Claire	WI	54703	100		Mayo Clinic Health System-Eau Clair	1221 Whipple St	Eau Claire	WI	54703
Hayward Area Memorial Hospital	11040 North State Road 77	Hayward	WI	54843	100		Hayward Area Memorial Hospital	11040 N State Road 77	Hayward	WI	54843
Ministry Health Care Affinity Health System St Elizabeth Hospital	1506 South Oneida Street	Appleton	WI	54915	100		St Elizabeth Hospital	1506 S Oneida St	Appleton	WI	54915
Agnesian HealthCare St Agnes Hospital	430 East Division Street	Fond Du Lac	WI	54935	100		St Agnes Hospital	430 E Division St	Fond Du Lac	WI	54935
Appalachian Regional Healthcare Beckley ARH Hospital	306 Stanaford Road	Beckley	WV	25801	100		Beckley A R H Hospital	306 Stanaford Rd	Beckley	WV	25801
West Park Hospital	707 Sheridan Avenue	Cody	WY	82414	100		West Park Hospital	707 Sheridan Ave	Cody	WY	82414
Sheridan Memorial Hospital	1401 West 5th Street	Sheridan	WY	82801	100		Sheridan Memorial Hospital	1401 W 5th St	Sheridan	WY	82801
Waterbury Hospital	64 Robbins Street	Waterbury	CT	6708	97		Waterbury Hospital	64 Robbins St	Waterbury	CT	6721
Proctor Hospital	5409 North Knoxville Avenue	Peoria	IL	61615	97		Proctor Hospital	5409 N Knoxville Ave	Peoria	IL	61614
Ochsner Health System Ochsner Medical Center West Bank	2500 Belle Chasse Highway	Gretna	LA	70053	97		Ochsner Medical Center West Bank	2500 Belle Chasse Hwy	Gretna	LA	70056
Cooley Dickinson Hospital	30 Locust Street	Northampton	MA	1060	97		Cooley Dickinson Hospital	30 Locust St	Northampton	MA	1061
Mayo Clinic Health System Mankato Hospital	1025 Marsh Street PO Box 8673	Mankato	MN	56002	97		Mayo Clinic Health System-Mankato	1025 Marsh St	Mankato	MN	56001
Roswell Park Cancer Institute	Elm and Carlton Streets	Buffalo	NY	14263	97		Roswell Park Cancer Institute	Elm & Carlton Sts	Buffalo	NY	14203
Catholic Health Initiatives Mercy Medical Center Roseburg	2700 Stewart Parkway	Roseburg	OR	97471	97		Mercy Medical Center	2700 Stewart Pkwy	Roseburg	OR	97470
Universal Health Services Aiken Regional Medical Centers	302 University Parkway	Aiken	SC	29802	97		Aiken Regional Medical Centers	302 University Pkwy	Aiken	SC	29801
Alexian Brothers Health System Alexian Brothers Medical Center	800 Biesterfield Road	Elk Grove Village	IL	60007	96		Alexian Brothers Medical Center	800 W Biesterfield Rd	Elk Grove Village	IL	60007
Presence Saint Joseph Medical Center	333 North Madison Street	Joliet	IL	60435	96		Presence Saint Joseph Medical Cente	333 N Madison S	Joliet	IL	60435
Indiana University Health Saxony Hospital	13000 East 136th Street	Fishers	IN	46037	96		Indiana University Health Saxony Ho	13000 136th St	Fishers	IN	46037
Pikeville Medical Center	911 South Bypass Road	Pikeville	KY	41501	96		Pikeville Medical Center	911 Bypass Rd	Pikeville	KY	41501
Spectrum Health Gerber Memorial Hospital	212 South Sullivan Street	Fremont	MI	49412	96		Spectrum Health Gerber Memorial	212 S Sullivan Ave	Fremont	MI	49412
Allina Health Owatonna Hospital	2250 Northwest 26th Street	Owatonna	MN	55060	96		Owatonna Hospital	2250 26th St NW	Owatonna	MN	55060
Northern Montana Hospital	30 West 13th Street PO Box 1231	Havre	MT	59501	96		Northern Montana Hospital	30 13th St	Havre	MT	59501
Gallup Indian Medical Center	516 East Nizhoni Boulevard	Gallup	NM	87301	96		Gallup Indian Medical Center	516 Nizhoni Blvd	Gallup	NM	87301
Kaleida Health Women and Childrens Hospital of Buffalo	219 Bryant Street	Buffalo	NY	14222	96		Childrens Hospital of Buffalo	219 Bryant	Buffalo	NY	14222
Stillwater Medical Center	1323 West 6th	Stillwater	OK	74074	96		Stillwater Medical Center	1323 W 6th Ave	Stillwater	OK	74074
St Lukes Hospital Allentown Campus	1736 Hamilton Street	Allentown	PA	18104	96		St Lukes Hospital - Allentown Campu	1736 W Hamilton St	Allentown	PA	18104
River Park Hospital	1559 Sparta Road	McMinnville	TN	37110	96		River Park Hospital	1559 Sparta St	McMinnville	TN	37110
Valley Health Warren Memorial Hospital	1000 North Shenandoah Avenue	Front Royal	VA	22630	96		Warren Memorial Hospital	1000 Shenandoah Ave	Front Royal	VA	22630
Jefferson Healthcare Hospital	834 Sheridan Street	Port Townsend	WA	98368	96		Jefferson Healthcare	834 Sheridan Ave	Port Townsend	WA	98368
Amery Regional Medical Center	265 Griffin Street East	Amery	WI	54001	96		Amery Regional Medical Center	265 E Griffin St	Amery	WI	54001
Dignity Health St Elizabeth Community Hospital	2550 Sister Mary Columbia Drive	Red Bluff	CA	96080	95.2		St Elizabeth Community Hospital	2550 Sister Mary Columba Dr	Red Bluff	CA	96080
Piedmont Healthcare Piedmont Newnan Hospital	745 Poplar Road	Newnan	GA	30265	95.2		Piedmont Newnan Hospital	745 Popular Rd	Newnan	GA	30265
Community Health Systems Heartland Regional Medical Center	3333 West Deyoung Street	Marion	IL	62959	95.2		Heartland Regional Medical Center	3333 W De Young St	Marion	IL	62959
Catskill Regional Medical Center	68 Harris Bushville Road	Harris	NY	12742	95.2		Catskill Regional Medical Center -	68 Harris - Bushville Rd	Harris	NY	12742
UnityPoint Health Finley Hospital Dubuque	350 North Grandview Avenue	Dubuque	IA	52001	95		The Finley Hospital	350 N Grandview Ave	Dubuque	IA	52001
Ascension Health St Josephs Regional Medical Center	415 6th Street	Lewiston	ID	83501	95		St Joseph Regional Medical Center	415 6th St	Lewiston	ID	83501
Trinity Health Saint Joseph Regional Medical Center Plymouth	1915 Lake Avenue	Plymouth	IN	46563	95		St Joseph Regional Medical Center P	1915 Lake Ave	Plymouth	IN	46563
Indiana University Health Bedford Hospital	2900 West 16th Street	Bedford	IN	47421	95		IU Health Bedford Hospital	2900 W 16th St	Bedford	IN	47421
Centura Health Saint Catherine Hospital	401 East Spruce Street	Garden City	KS	67846	95		St Catherine Hospital	401 E Spruce St	Garden City	KS	67846
Saint Tammany Parish Hospital	1202 South Tyler Street	Covington	LA	70433	95		St Tammany Parish Hospital	1202 S Tyler St	Covington	LA	70433
Northstar Health System Iron County Community Hospital	1400 West Ice lake Road	Iron River	MI	49935	95		North Star Health	1400 W Ice Lake Rd	Iron River	MI	49935
First Health Montgomery Memorial Hospital	520 Allen Street	Troy	NC	27371	95		FirstHealth Montgomery Memorial Hos	520 Allen St	Troy	NC	27371
Carolinas HealthCare System Carolina Medical Center Lincoln	433 McAlister Road	Lincolnton	NC	28092	95		Carolinas Medical Center - Lincoln	433 McAlister Rd	Lincolnton	NC	28092
Franciscan Care Services Saint Francis Memorial Hospital	430 North Monitor Street	West Point	NE	68788	95		St Francis Memorial Hospital	430 N Monitor St	West Point	NE	68788
St Josephs Healthcare System St Josephs Wayne Hospital	224 Hamburg Turnpike	Wayne	NJ	7470	95		St Joseph Wayne Hospital	224 Hamburg Tpke	Wayne	NJ	7470
HCA Mountain View Hospital	3100 North Tenaya Way	Las Vegas	NV	89128	95		MountainView Hospital	3100 N Tenaya Way	Las Vegas	NV	89128
Catholic Health Services of Long Island St Josephs Hospital	4295 Hempstead Turnpike	Bethpage	NY	11714	95		St Joseph Hospital	4295 Hempstead Tpke	Bethpage	NY	11714
Mercy Health West Hospital	3300 Mercy Health Boulevard	Cincinnatti	OH	45211	95		Mercy Health- West Hospital	3300 Mercy Health Blvd	Cincinnati	OH	45211
Trinity Health Saint Alphonsus Medical Center Baker City	3325 Pocahontas Road	Baker City	OR	97814	95		St Alphonsus Medical Center - Baker	3325 Pocahontas Rd	Baker City	OR	97814
Allegheny Health Network St Vincent Health System	232 West 25th Street	Erie	PA	16544	95		Saint Vincent Health System	232 W 25th St	Erie	PA	16544
DeTar Healthcare System DeTar Hospital Navaro	506 East San Antonio Street	Victoria	TX	77901	95		DeTar Hospital Navarro	506 E San Antonio St	Victoria	TX	77901
Ministry Health Care Saint Michaels Hospital	900 Illinois Avenue	Stevens Point	WI	54481	95		St Michaels Hospital	900 Illinois Ave	Stevens Point	WI	54481
Carolinas HealthCare System Murphy Medical Center	3990 US Highway 64 East	Murphy	NC	28906	93.2		Murphy Medical Center	3990 E US Hwy 64 Alt	Murphy	NC	28906
Norton Healthcare Norton Suburban Hospital	4001 Dutchmans Lane	Louisville	KY	40207	93		Norton Suburban Hospital	4001 Dutchmans Ln	Louisville	KY	40207
United States Air Force Wright Patterson Medical Center	4881 Sugar Maple Drive 88th MDOS SGOMA	Wright-Patterson AFB	OH	45433	92.9		Wright-Patterson Medical Center	4881 Sugar Maple Dr	Dayton	OH	45433
Tahoe Forest Health System Tahoe Forest Hospital District	10121 Pine Avenue PO Box 759	Truckee	CA	96161	92.4		Tahoe Forest Hospital	10121 Pine Ave	Truckee	CA	96161
Trinity Health Trinity Hospital	1 Burdick Expressway West	Minot	ND	58702	92		Trinity Hospitals	1 Burdick Expy W	Minot	ND	58701
