,Facility,Address,City,State,Zip,Score,Mismatch,Facility.1,Address.1,City.1,State.1,Zip.1,Flag,Str1,Str2
448,ST ELIZABETH HOSPITAL,1431 N CLAREMONT AVE,CHICAGO,IL,60622,100.0,,St Elizabeth Hospital,1431 N Claremont Ave,Chicago,IL,60622,y,"ST ELIZABETH HOSPITAL, 1431 N CLAREMONT AVE, CHICAGO, IL, 60622","St Elizabeth Hospital, 1431 N Claremont Ave, Chicago, IL, 60622"
450,ST ANTHONY HOSPITAL,2875 W 19TH ST,CHICAGO,IL,60623,100.0,,St Anthony Hospital,2875 W 19th St,Chicago,IL,60623,y,"ST ANTHONY HOSPITAL, 2875 W 19TH ST, CHICAGO, IL, 60623","St Anthony Hospital, 2875 W 19th St, Chicago, IL, 60623"
451,SACRED HEART HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,100.0,,Sacred Heart Hospital,3240 W Franklin Blvd,Chicago,IL,60624,y,"SACRED HEART HOSPITAL, 3240 W FRANKLIN BLVD, CHICAGO, IL, 60624","Sacred Heart Hospital, 3240 W Franklin Blvd, Chicago, IL, 60624"
452,SWEDISH COVENANT HOSPITAL,5145 N CALIFORNIA AVE,CHICAGO,IL,60625,100.0,,Swedish Covenant Hospital,5145 N California Ave,Chicago,IL,60625,y,"SWEDISH COVENANT HOSPITAL, 5145 N CALIFORNIA AVE, CHICAGO, IL, 60625","Swedish Covenant Hospital, 5145 N California Ave, Chicago, IL, 60625"
453,HOLY CROSS HOSPITAL,2701 W 68TH ST,CHICAGO,IL,60629,100.0,,Holy Cross Hospital,2701 W 68th St,Chicago,IL,60629,y,"HOLY CROSS HOSPITAL, 2701 W 68TH ST, CHICAGO, IL, 60629","Holy Cross Hospital, 2701 W 68th St, Chicago, IL, 60629"
454,UNIVERSITY OF CHICAGO HOSP,5841 S MARYLAND AVE,CHICAGO,IL,60637,100.0,,University of Chicago Hospitals,5841 S Maryland Ave,Chicago,IL,60637,y,"UNIVERSITY OF CHICAGO HOSP, 5841 S MARYLAND AVE, CHICAGO, IL, 60637","University of Chicago Hospitals, 5841 S Maryland Ave, Chicago, IL, 60637"
455,KINDRED HOSPITAL CHICAGO CENTRAL,4058 W MELROSE ST,CHICAGO,IL,60641,100.0,,Kindred Chicago - Central Hospital,4058 W Melrose St,Chicago,IL,60641,y,"KINDRED HOSPITAL CHICAGO CENTRAL, 4058 W MELROSE ST, CHICAGO, IL, 60641","Kindred Chicago - Central Hospital, 4058 W Melrose St, Chicago, IL, 60641"
456,LORETTO HOSPITAL,645 S CENTRAL AVE,CHICAGO,IL,60644,100.0,,Loretto Hospital,645 S Central Ave,Chicago,IL,60644,y,"LORETTO HOSPITAL, 645 S CENTRAL AVE, CHICAGO, IL, 60644","Loretto Hospital, 645 S Central Ave, Chicago, IL, 60644"
457,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,100.0,,Little Company of Mary Hospital,2800 W 95th St,Evergreen Park,IL,60805,y,"LITTLE COMPANY OF MARY HOSPITAL, 2800 W 95TH ST, EVERGREEN PARK, IL, 60805","Little Company of Mary Hospital, 2800 W 95th St, Evergreen Park, IL, 60805"
459,FREEPORT MEMORIAL HOSPITAL,1045 W STEPHENSON ST,FREEPORT,IL,61032,100.0,,Freeport Memorial Hospital,1045 W Stephenson St,Freeport,IL,61032,y,"FREEPORT MEMORIAL HOSPITAL, 1045 W STEPHENSON ST, FREEPORT, IL, 61032","Freeport Memorial Hospital, 1045 W Stephenson St, Freeport, IL, 61032"
460,ROCHELLE COMMUNITY HOSPITAL,900 N 2ND ST,ROCHELLE,IL,61068,100.0,,Rochelle Community Hospital,900 N 2nd St,Rochelle,IL,61068,y,"ROCHELLE COMMUNITY HOSPITAL, 900 N 2ND ST, ROCHELLE, IL, 61068","Rochelle Community Hospital, 900 N 2nd St, Rochelle, IL, 61068"
461,CGH MEDICAL CENTER,100 E LEFEVRE RD,STERLING,IL,61081,100.0,,C G H Medical Center,100 E LeFevre Rd,Sterling,IL,61081,y,"CGH MEDICAL CENTER, 100 E LEFEVRE RD, STERLING, IL, 61081","C G H Medical Center, 100 E LeFevre Rd, Sterling, IL, 61081"
462,ROCKFORD MEMORIAL HOSPITAL,2400 N ROCKTON AVE,ROCKFORD,IL,61103,100.0,,Rockford Memorial Hospital,2400 N Rockton Ave,Rockford,IL,61103,y,"ROCKFORD MEMORIAL HOSPITAL, 2400 N ROCKTON AVE, ROCKFORD, IL, 61103","Rockford Memorial Hospital, 2400 N Rockton Ave, Rockford, IL, 61103"
463,TRINITY MEDICAL CENTER WEST CAMPUS,2701 17TH ST,ROCK ISLAND,IL,61201,100.0,,Trinity Medical Center - West Campu,2701 17th St,Rock Island,IL,61201,y,"TRINITY MEDICAL CENTER WEST CAMPUS, 2701 17TH ST, ROCK ISLAND, IL, 61201","Trinity Medical Center - West Campu, 2701 17th St, Rock Island, IL, 61201"
464,ST MARYS HOSPITAL,111 SPRING ST,STREATOR,IL,61364,100.0,,St Marys Hospital,111 Spring St,Streator,IL,61364,y,"ST MARYS HOSPITAL, 111 SPRING ST, STREATOR, IL, 61364","St Marys Hospital, 111 Spring St, Streator, IL, 61364"
465,MCDONOUGH DISTRICT HOSPITAL,525 E GRANT ST,MACOMB,IL,61455,100.0,,McDonough District Hospital,525 E Grant St,Macomb,IL,61455,y,"MCDONOUGH DISTRICT HOSPITAL, 525 E GRANT ST, MACOMB, IL, 61455","McDonough District Hospital, 525 E Grant St, Macomb, IL, 61455"
467,PEKIN HOSP,600 S 13TH ST,PEKIN,IL,61554,100.0,,Pekin Memorial Hospital,600 S 13th St,Pekin,IL,61554,y,"PEKIN HOSP, 600 S 13TH ST, PEKIN, IL, 61554","Pekin Memorial Hospital, 600 S 13th St, Pekin, IL, 61554"
468,ST JOSEPH MEDICAL CENTER,2200 E WASHINGTON ST,BLOOMINGTON,IL,61701,100.0,,O S F St Joseph Medical Center,2200 E Washington St,Bloomington,IL,61701,y,"ST JOSEPH MEDICAL CENTER, 2200 E WASHINGTON ST, BLOOMINGTON, IL, 61701","O S F St Joseph Medical Center, 2200 E Washington St, Bloomington, IL, 61701"
469,HOPEDALE MEDICAL COMPLEX,107 TREMONT ST,HOPEDALE,IL,61747,100.0,,Hopedale Medical Complex,107 Tremont St,Hopedale,IL,61747,y,"HOPEDALE MEDICAL COMPLEX, 107 TREMONT ST, HOPEDALE, IL, 61747","Hopedale Medical Complex, 107 Tremont St, Hopedale, IL, 61747"
472,ST CLARES HOSPITAL,915 E 5TH ST,ALTON,IL,62002,100.0,,St Clares Hospital,915 E 5Th St,Alton,IL,62002,y,"ST CLARES HOSPITAL, 915 E 5TH ST, ALTON, IL, 62002","St Clares Hospital, 915 E 5Th St, Alton, IL, 62002"
473,JERSEY COMMUNITY HOSPITAL,400 MAPLE SUMMIT RD,JERSEYVILLE,IL,62052,100.0,,Jersey Community Hospital,400 Maple Summit Rd,Jerseyville,IL,62052,y,"JERSEY COMMUNITY HOSPITAL, 400 MAPLE SUMMIT RD, JERSEYVILLE, IL, 62052","Jersey Community Hospital, 400 Maple Summit Rd, Jerseyville, IL, 62052"
474,TOUCHETTE REGIONAL HOSPITAL,5900 BOND AVE,EAST SAINT LOUIS,IL,62207,100.0,,Touchette Regional Hospital,5900 Bond Ave,Centreville,IL,62207,y,"TOUCHETTE REGIONAL HOSPITAL, 5900 BOND AVE, EAST SAINT LOUIS, IL, 62207","Touchette Regional Hospital, 5900 Bond Ave, Centreville, IL, 62207"
475,ST ELIZABETHS HOSPITAL,211 S 3RD ST,BELLEVILLE,IL,62220,100.0,,St Elizabeths Hospital,211 S 3rd St,Belleville,IL,62220,y,"ST ELIZABETHS HOSPITAL, 211 S 3RD ST, BELLEVILLE, IL, 62220","St Elizabeths Hospital, 211 S 3rd St, Belleville, IL, 62220"
476,MEMORIAL HOSPITAL,4500 MEMORIAL DR,BELLEVILLE,IL,62226,100.0,,Memorial Hospital,4500 Memorial Dr,Belleville,IL,62226,y,"MEMORIAL HOSPITAL, 4500 MEMORIAL DR, BELLEVILLE, IL, 62226","Memorial Hospital, 4500 Memorial Dr, Belleville, IL, 62226"
477,MEMORIAL HOSPITAL,1900 STATE ST,CHESTER,IL,62233,100.0,,Memorial Hospital,1900 State St,Chester,IL,62233,y,"MEMORIAL HOSPITAL, 1900 STATE ST, CHESTER, IL, 62233","Memorial Hospital, 1900 State St, Chester, IL, 62233"
478,GREENVILLE REGIONAL HOSPITAL INC,200 HEALTH CARE DR,GREENVILLE,IL,62246,100.0,,Greenville Regional Hospital,200 Healthcare Dr,Greenville,IL,62246,y,"GREENVILLE REGIONAL HOSPITAL INC, 200 HEALTH CARE DR, GREENVILLE, IL, 62246","Greenville Regional Hospital, 200 Healthcare Dr, Greenville, IL, 62246"
479,PINCKNEYVILLE COMMUNITY HOSPITAL,101 N WALNUT ST,PINCKNEYVILLE,IL,62274,100.0,,Pinckneyville Community Hospital,101 N Walnut St,Pinckneyville,IL,62274,y,"PINCKNEYVILLE COMMUNITY HOSPITAL, 101 N WALNUT ST, PINCKNEYVILLE, IL, 62274","Pinckneyville Community Hospital, 101 N Walnut St, Pinckneyville, IL, 62274"
480,ILLINI COMMUNITY HOSPITAL,640 W WASHINGTON ST,PITTSFIELD,IL,62363,100.0,,Illini Community Hospital,640 W Washington St,Pittsfield,IL,62363,y,"ILLINI COMMUNITY HOSPITAL, 640 W WASHINGTON ST, PITTSFIELD, IL, 62363","Illini Community Hospital, 640 W Washington St, Pittsfield, IL, 62363"
481,ST ANTHONYS MEMORIAL HOSPITAL,503 N MAPLE ST,EFFINGHAM,IL,62401,100.0,,St Anthonys Memorial Hospital,503 N Maple St,Effingham,IL,62401,y,"ST ANTHONYS MEMORIAL HOSPITAL, 503 N MAPLE ST, EFFINGHAM, IL, 62401","St Anthonys Memorial Hospital, 503 N Maple St, Effingham, IL, 62401"
482,CRAWFORD MEMORIAL HOSPITAL,1000 N ALLEN ST,ROBINSON,IL,62454,100.0,,Crawford Memorial Hospital,1000 N Allen St,Robinson,IL,62454,y,"CRAWFORD MEMORIAL HOSPITAL, 1000 N ALLEN ST, ROBINSON, IL, 62454","Crawford Memorial Hospital, 1000 N Allen St, Robinson, IL, 62454"
483,ST MARYS HOSPITAL,1800 E LAKE SHORE DR,DECATUR,IL,62521,100.0,,St Marys Hospital,1800 E Lake Shore Dr,Decatur,IL,62521,y,"ST MARYS HOSPITAL, 1800 E LAKE SHORE DR, DECATUR, IL, 62521","St Marys Hospital, 1800 E Lake Shore Dr, Decatur, IL, 62521"
485,PANA COMMUNITY HOSPITAL,101 E 9TH ST,PANA,IL,62557,100.0,,Pana Community Hospital,101 E 9th St,Pana,IL,62557,y,"PANA COMMUNITY HOSPITAL, 101 E 9TH ST, PANA, IL, 62557","Pana Community Hospital, 101 E 9th St, Pana, IL, 62557"
486,PASSAVANT AREA HOSPITAL,1600 W WALNUT ST,JACKSONVILLE,IL,62650,100.0,,Passavant Area Hospital,1600 W Walnut St,Jacksonville,IL,62650,y,"PASSAVANT AREA HOSPITAL, 1600 W WALNUT ST, JACKSONVILLE, IL, 62650","Passavant Area Hospital, 1600 W Walnut St, Jacksonville, IL, 62650"
488,ST JOHNS HOSPITAL,800 E CARPENTER ST,SPRINGFIELD,IL,62769,100.0,,St Johns Hospital,800 E Carpenter St,Springfield,IL,62769,y,"ST JOHNS HOSPITAL, 800 E CARPENTER ST, SPRINGFIELD, IL, 62769","St Johns Hospital, 800 E Carpenter St, Springfield, IL, 62769"
490,WABASH GENERAL HOSPITAL,1418 COLLEGE DR,MOUNT CARMEL,IL,62863,100.0,,Wabash General Hospital,1418 College Dr,Mount Carmel,IL,62863,y,"WABASH GENERAL HOSPITAL, 1418 COLLEGE DR, MOUNT CARMEL, IL, 62863","Wabash General Hospital, 1418 College Dr, Mount Carmel, IL, 62863"
491,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON ST,CARBONDALE,IL,62901,100.0,,Memorial Hospital of Carbondale,405 W Jackson St,Carbondale,IL,62901,y,"MEMORIAL HOSPITAL OF CARBONDALE, 405 W JACKSON ST, CARBONDALE, IL, 62901","Memorial Hospital of Carbondale, 405 W Jackson St, Carbondale, IL, 62901"
492,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,100.0,,Herrin Hospital,201 S 14th St,Herrin,IL,62948,y,"HERRIN HOSPITAL, 201 S 14TH ST, HERRIN, IL, 62948","Herrin Hospital, 201 S 14th St, Herrin, IL, 62948"
493,HEARTLAND REGIONAL MEDICAL,3333 W DEYOUNG ST,MARION,IL,62959,100.0,,Heartland Regional Medical Center,3333 W Deyoung St,Marion,IL,62959,y,"HEARTLAND REGIONAL MEDICAL, 3333 W DEYOUNG ST, MARION, IL, 62959","Heartland Regional Medical Center, 3333 W Deyoung St, Marion, IL, 62959"
494,ST JOSEPH MEMORIAL HOSPITAL,2 S HOSPITAL DR,MURPHYSBORO,IL,62966,100.0,,St Joseph Memorial Hospital,2 S Hospital Dr,Murphysboro,IL,62966,y,"ST JOSEPH MEMORIAL HOSPITAL, 2 S HOSPITAL DR, MURPHYSBORO, IL, 62966","St Joseph Memorial Hospital, 2 S Hospital Dr, Murphysboro, IL, 62966"
496,ST VINCENT FRANKFORT HOSP,1300 S JACKSON ST,FRANKFORT,IN,46041,100.0,,St Vincent Frankfort Hospital,1300 S Jackson St,Frankfort,IN,46041,y,"ST VINCENT FRANKFORT HOSP, 1300 S JACKSON ST, FRANKFORT, IN, 46041","St Vincent Frankfort Hospital, 1300 S Jackson St, Frankfort, IN, 46041"
497,RIVERVIEW HOSPITAL,395 WESTFIELD RD,NOBLESVILLE,IN,46060,100.0,,Riverview Hospital,395 Westfield Rd,Noblesville,IN,46060,y,"RIVERVIEW HOSPITAL, 395 WESTFIELD RD, NOBLESVILLE, IN, 46060","Riverview Hospital, 395 Westfield Rd, Noblesville, IN, 46060"
498,TIPTON HOSP,1000 S MAIN ST,TIPTON,IN,46072,100.0,,Tipton Hospital,1000 S Main St,Tipton,IN,46072,y,"TIPTON HOSP, 1000 S MAIN ST, TIPTON, IN, 46072","Tipton Hospital, 1000 S Main St, Tipton, IN, 46072"
499,JOHNSON MEMORIAL HOSPITAL,1125 W JEFFERSON ST,FRANKLIN,IN,46131,100.0,,Johnson Memorial Hospital,1125 W Jefferson St,Franklin,IN,46131,y,"JOHNSON MEMORIAL HOSPITAL, 1125 W JEFFERSON ST, FRANKLIN, IN, 46131","Johnson Memorial Hospital, 1125 W Jefferson St, Franklin, IN, 46131"
500,PUTNAM COUNTY HOSPITAL,1542 S BLOOMINGTON ST,GREENCASTLE,IN,46135,100.0,,Putnam County Hospital,1542 S Bloomington St,Greencastle,IN,46135,y,"PUTNAM COUNTY HOSPITAL, 1542 S BLOOMINGTON ST, GREENCASTLE, IN, 46135","Putnam County Hospital, 1542 S Bloomington St, Greencastle, IN, 46135"
502,RUSH MEMORIAL HOSPITAL,1300 N MAIN ST,RUSHVILLE,IN,46173,100.0,,Rush Memorial Hospital,1300 N Main St,Rushville,IN,46173,y,"RUSH MEMORIAL HOSPITAL, 1300 N MAIN ST, RUSHVILLE, IN, 46173","Rush Memorial Hospital, 1300 N Main St, Rushville, IN, 46173"
503,MAJOR HOSPITAL,150 W WASHINGTON ST,SHELBYVILLE,IN,46176,100.0,,Major Hospital,150 W Washington St,Shelbyville,IN,46176,y,"MAJOR HOSPITAL, 150 W WASHINGTON ST, SHELBYVILLE, IN, 46176","Major Hospital, 150 W Washington St, Shelbyville, IN, 46176"
504,LARUE D CARTER MEMORIAL HOSP,2601 COLD SPRING RD,INDIANAPOLIS,IN,46222,100.0,,Larue D Carter Memorial Hospital,2601 Cold Spring Rd,Indianapolis,IN,46222,y,"LARUE D CARTER MEMORIAL HOSP, 2601 COLD SPRING RD, INDIANAPOLIS, IN, 46222","Larue D Carter Memorial Hospital, 2601 Cold Spring Rd, Indianapolis, IN, 46222"
505,WESTVIEW HOSPITAL,3630 GUION RD,INDIANAPOLIS,IN,46222,100.0,,Westview Hospital,3630 Guion Rd,Indianapolis,IN,46222,y,"WESTVIEW HOSPITAL, 3630 GUION RD, INDIANAPOLIS, IN, 46222","Westview Hospital, 3630 Guion Rd, Indianapolis, IN, 46222"
506,COMMUNITY HOSPITAL SOUTH,1402 E COUNTY LINE RD,INDIANAPOLIS,IN,46227,100.0,,Community Hospital South,1402 E County Line Rd,Indianapolis,IN,46227,y,"COMMUNITY HOSPITAL SOUTH, 1402 E COUNTY LINE RD, INDIANAPOLIS, IN, 46227","Community Hospital South, 1402 E County Line Rd, Indianapolis, IN, 46227"
507,ST CATHERINE HOSP,4321 FIR ST,EAST CHICAGO,IN,46312,100.0,,St Catherine Hospital,4321 Fir St,East Chicago,IN,46312,y,"ST CATHERINE HOSP, 4321 FIR ST, EAST CHICAGO, IN, 46312","St Catherine Hospital, 4321 Fir St, East Chicago, IN, 46312"
508,THE COMMUNITY HOSPITAL,901 MACARTHUR BLVD,MUNSTER,IN,46321,100.0,,Community Hospital,901 Macarthur Blvd,Munster,IN,46321,y,"THE COMMUNITY HOSPITAL, 901 MACARTHUR BLVD, MUNSTER, IN, 46321","Community Hospital, 901 Macarthur Blvd, Munster, IN, 46321"
509,ST MARY MEDICAL CENTER,1500 S LAKE PARK AVE,HOBART,IN,46342,100.0,,St Mary Medical Center,1500 S Lake Park Ave,Hobart,IN,46342,y,"ST MARY MEDICAL CENTER, 1500 S LAKE PARK AVE, HOBART, IN, 46342","St Mary Medical Center, 1500 S Lake Park Ave, Hobart, IN, 46342"
510,METHODIST HOSPITAL SOUTHLAKE CAMPUS,8701 BROADWAY,Merrillville,IN,46410,100.0,,Methodist Hospital - Southlake Camp,8701 Broadway,Merrillville,IN,46410,y,"METHODIST HOSPITAL SOUTHLAKE CAMPUS, 8701 BROADWAY, Merrillville, IN, 46410","Methodist Hospital - Southlake Camp, 8701 Broadway, Merrillville, IN, 46410"
511,ELKHART GENERAL HOSPITAL,600 EAST BLVD,ELKHART,IN,46514,100.0,,Elkhart General Hospital,600 East Blvd,Elkhart,IN,46514,y,"ELKHART GENERAL HOSPITAL, 600 EAST BLVD, ELKHART, IN, 46514","Elkhart General Hospital, 600 East Blvd, Elkhart, IN, 46514"
512,MEMORIAL HOSPITAL OF SOUTH BEND INC,615 N MICHIGAN ST,SOUTH BEND,IN,46601,100.0,,Memorial Hospital of South Bend,615 N Michigan St,South Bend,IN,46601,y,"MEMORIAL HOSPITAL OF SOUTH BEND INC, 615 N MICHIGAN ST, SOUTH BEND, IN, 46601","Memorial Hospital of South Bend, 615 N Michigan St, South Bend, IN, 46601"
513,MEMORIAL HOSPITAL OF SOUTH BEND INC,615 N MICHIGAN ST FL 1,SOUTH BEND,IN,46601,100.0,,Memorial Hospital of South Bend,615 N Michigan St,South Bend,IN,46601,y,"MEMORIAL HOSPITAL OF SOUTH BEND INC, 615 N MICHIGAN ST FL 1, SOUTH BEND, IN, 46601","Memorial Hospital of South Bend, 615 N Michigan St, South Bend, IN, 46601"
514,LUTHERAN HOSPITAL OF INDIANA,7950 W JEFFERSON BLVD,FORT WAYNE,IN,46804,100.0,,Lutheran Hospital Of Indiana,7950 W Jefferson Blvd,Fort Wayne,IN,46804,y,"LUTHERAN HOSPITAL OF INDIANA, 7950 W JEFFERSON BLVD, FORT WAYNE, IN, 46804","Lutheran Hospital Of Indiana, 7950 W Jefferson Blvd, Fort Wayne, IN, 46804"
515,PARKVIEW HOSPITAL,2200 RANDALLIA DR,FORT WAYNE,IN,46805,100.0,,Parkview Hospital,2200 Randallia Dr,Fort Wayne,IN,46805,y,"PARKVIEW HOSPITAL, 2200 RANDALLIA DR, FORT WAYNE, IN, 46805","Parkview Hospital, 2200 Randallia Dr, Fort Wayne, IN, 46805"
516,MARION GENERAL HOSPITAL,441 N WABASH AVE,MARION,IN,46952,100.0,,Marion General Hospital,441 N Wabash Ave,Marion,IN,46952,y,"MARION GENERAL HOSPITAL, 441 N WABASH AVE, MARION, IN, 46952","Marion General Hospital, 441 N Wabash Ave, Marion, IN, 46952"
517,WOODLAWN HOSPITAL,1400 E 9TH ST,ROCHESTER,IN,46975,100.0,,Woodlawn Hospital,1400 E 9th St,Rochester,IN,46975,y,"WOODLAWN HOSPITAL, 1400 E 9TH ST, ROCHESTER, IN, 46975","Woodlawn Hospital, 1400 E 9th St, Rochester, IN, 46975"
518,PULASKI MEMORIAL HOSPITAL,616 E 13TH ST,WINAMAC,IN,46996,100.0,,Pulaski Memorial Hospital,616 E 13th St,Winamac,IN,46996,y,"PULASKI MEMORIAL HOSPITAL, 616 E 13TH ST, WINAMAC, IN, 46996","Pulaski Memorial Hospital, 616 E 13th St, Winamac, IN, 46996"
519,Margaret Mary Community Hospital,321 Mitchell Ave,BATESVILLE,IN,47006,100.0,,Margaret Mary Community Hospital,321 Mitchell Ave,Batesville,IN,47006,y,"Margaret Mary Community Hospital, 321 Mitchell Ave, BATESVILLE, IN, 47006","Margaret Mary Community Hospital, 321 Mitchell Ave, Batesville, IN, 47006"
520,CLARK MEMORIAL HOSPITAL,1220 MISSOURI AVE,JEFFERSONVILLE,IN,47130,100.0,,Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,y,"CLARK MEMORIAL HOSPITAL, 1220 MISSOURI AVE, JEFFERSONVILLE, IN, 47130","Clark Memorial Hospital, 1220 Missouri Ave, Jeffersonville, IN, 47130"
521,FLOYD MEMORIAL HOSPITAL,1850 STATE ST,NEW ALBANY,IN,47150,100.0,,Floyd Memorial Hospital and Health,1850 State St,New Albany,IN,47150,y,"FLOYD MEMORIAL HOSPITAL, 1850 STATE ST, NEW ALBANY, IN, 47150","Floyd Memorial Hospital and Health, 1850 State St, New Albany, IN, 47150"
523,FAYETTE MEMORIAL HOSPITAL,1941 VIRGINIA AVE,CONNERSVILLE,IN,47331,100.0,,Fayette Memorial Hospital,1941 Virginia Ave,Connersville,IN,47331,y,"FAYETTE MEMORIAL HOSPITAL, 1941 VIRGINIA AVE, CONNERSVILLE, IN, 47331","Fayette Memorial Hospital, 1941 Virginia Ave, Connersville, IN, 47331"
524,PERRY COUNTY MEMORIAL HOSPITAL,1 HOSPITAL RD,TELL CITY,IN,47586,100.0,,Perry County Memorial Hospital,1 Hospital Rd,Tell City,IN,47586,y,"PERRY COUNTY MEMORIAL HOSPITAL, 1 HOSPITAL RD, TELL CITY, IN, 47586","Perry County Memorial Hospital, 1 Hospital Rd, Tell City, IN, 47586"
525,GOOD SAMARITAN HOSPITAL,520 S 7TH ST,VINCENNES,IN,47591,100.0,,Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591,y,"GOOD SAMARITAN HOSPITAL, 520 S 7TH ST, VINCENNES, IN, 47591","Good Samaritan Hospital, 520 S 7th St, Vincennes, IN, 47591"
526,GOOD SAMARITAN HOSPITAL,520 S. Seventh St,VINCENNES,IN,47591,100.0,,Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591,y,"GOOD SAMARITAN HOSPITAL, 520 S. Seventh St, VINCENNES, IN, 47591","Good Samaritan Hospital, 520 S 7th St, Vincennes, IN, 47591"
527,GOOD SAMARITAN HOSPITAL,520 S. Seventh Street,VINCENNES,IN,47591,100.0,,Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591,y,"GOOD SAMARITAN HOSPITAL, 520 S. Seventh Street, VINCENNES, IN, 47591","Good Samaritan Hospital, 520 S 7th St, Vincennes, IN, 47591"
528,DEACONESS GATEWAY HOSPITAL,4011 GATEWAY BLVD,NEWBURGH,IN,47630,100.0,,Deaconess Gateway Hospital,4011 Gateway Blvd,Newburgh,IN,47630,y,"DEACONESS GATEWAY HOSPITAL, 4011 GATEWAY BLVD, NEWBURGH, IN, 47630","Deaconess Gateway Hospital, 4011 Gateway Blvd, Newburgh, IN, 47630"
529,GIBSON GENERAL HOSPITAL,1808 SHERMAN DR,PRINCETON,IN,47670,100.0,,Gibson General Hospital,1808 Sherman Dr,Princeton,IN,47670,y,"GIBSON GENERAL HOSPITAL, 1808 SHERMAN DR, PRINCETON, IN, 47670","Gibson General Hospital, 1808 Sherman Dr, Princeton, IN, 47670"
530,DEACONESS HOSPITAL,600 MARY ST,EVANSVILLE,IN,47710,100.0,,Deaconess Hospital,600 Mary St,Evansville,IN,47710,y,"DEACONESS HOSPITAL, 600 MARY ST, EVANSVILLE, IN, 47710","Deaconess Hospital, 600 Mary St, Evansville, IN, 47710"
531,ST MARYS MEDICAL CENTER,3700 WASHINGTON AVE,EVANSVILLE,IN,47714,100.0,,St Marys Medical Center of Evansvil,3700 Washington Ave,Evansville,IN,47714,y,"ST MARYS MEDICAL CENTER, 3700 WASHINGTON AVE, EVANSVILLE, IN, 47714","St Marys Medical Center of Evansvil, 3700 Washington Ave, Evansville, IN, 47714"
532,TERRE HAUTE REGIONAL HOSPITAL,3901 S 7TH ST,TERRE HAUTE,IN,47802,100.0,,Terre Haute Regional Hospital,3901 S 7th St,Terre Haute,IN,47802,y,"TERRE HAUTE REGIONAL HOSPITAL, 3901 S 7TH ST, TERRE HAUTE, IN, 47802","Terre Haute Regional Hospital, 3901 S 7th St, Terre Haute, IN, 47802"
533,UNION HOSP,1606 N 7TH ST,TERRE HAUTE,IN,47804,100.0,,Union Hospital,1606 N 7th St,Terre Haute,IN,47804,y,"UNION HOSP, 1606 N 7TH ST, TERRE HAUTE, IN, 47804","Union Hospital, 1606 N 7th St, Terre Haute, IN, 47804"
534,JASPER COUNTY HOSPITAL,1104 E GRACE ST,RENSSELAER,IN,47978,100.0,,Jasper County Hospital,1104 E Grace St,Rensselaer,IN,47978,y,"JASPER COUNTY HOSPITAL, 1104 E GRACE ST, RENSSELAER, IN, 47978","Jasper County Hospital, 1104 E Grace St, Rensselaer, IN, 47978"
535,LAWRENCE MEMORIAL HOSPITAL,325 MAINE ST,LAWRENCE,KS,66044,100.0,,Lawrence Memorial Hospital,325 Maine St,Lawrence,KS,66044,y,"LAWRENCE MEMORIAL HOSPITAL, 325 MAINE ST, LAWRENCE, KS, 66044","Lawrence Memorial Hospital, 325 Maine St, Lawrence, KS, 66044"
536,CUSHING MEMORIAL HOSPITAL,711 MARSHALL ST,LEAVENWORTH,KS,66048,100.0,,Cushing Memorial Hospital,711 Marshall St,Leavenworth,KS,66048,y,"CUSHING MEMORIAL HOSPITAL, 711 MARSHALL ST, LEAVENWORTH, KS, 66048","Cushing Memorial Hospital, 711 Marshall St, Leavenworth, KS, 66048"
537,OLATHE MEDICAL CENTER,20333 W 151ST ST,OLATHE,KS,66061,100.0,,Olathe Medical Center,20333 W 151st St,Olathe,KS,66061,y,"OLATHE MEDICAL CENTER, 20333 W 151ST ST, OLATHE, KS, 66061","Olathe Medical Center, 20333 W 151st St, Olathe, KS, 66061"
538,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PKWY,KANSAS CITY,KS,66112,100.0,,Providence Medical Center,8929 Parallel Pkwy,Kansas City,KS,66112,y,"PROVIDENCE MEDICAL CENTER, 8929 PARALLEL PKWY, KANSAS CITY, KS, 66112","Providence Medical Center, 8929 Parallel Pkwy, Kansas City, KS, 66112"
539,UNIVERSITY OF KANSAS HOSPITAL RETAI,3901 RAINBOW BLVD,KANSAS CITY,KS,66160,100.0,,University Of Kansas Hospital,3901 Rainbow Blvd,Kansas City,KS,66160,y,"UNIVERSITY OF KANSAS HOSPITAL RETAI, 3901 RAINBOW BLVD, KANSAS CITY, KS, 66160","University Of Kansas Hospital, 3901 Rainbow Blvd, Kansas City, KS, 66160"
